Wed May 10 23:00:17 2017, Clear
Thu May 11 00:00:22 2017, Thunderstorm
Thu May 11 01:00:26 2017, Partly Cloudy
Thu May 11 02:00:31 2017, Clear
Thu May 11 03:00:35 2017, Clear
Thu May 11 04:00:40 2017, Partly Cloudy
Thu May 11 05:00:45 2017, Partly Cloudy
Thu May 11 06:00:49 2017, Thunderstorm
Thu May 11 07:00:54 2017, Thunderstorm
Thu May 11 08:00:59 2017, Partly Cloudy
Thu May 11 09:01:03 2017, Clear
Thu May 11 10:01:08 2017, Clear
Thu May 11 11:01:12 2017, Clear
Thu May 11 12:01:17 2017, Thunderstorm
Thu May 11 13:01:22 2017, Thunderstorm
Thu May 11 14:01:27 2017, Partly Cloudy
Thu May 11 15:01:31 2017, Clear
Thu May 11 16:01:36 2017, Clear
Thu May 11 17:01:40 2017, Partly Cloudy
Thu May 11 18:01:45 2017, Mostly Cloudy
Thu May 11 18:09:56 2017, Mostly Cloudy
Thu May 11 19:10:00 2017, Mostly Cloudy
Thu May 11 20:10:05 2017, Mostly Cloudy
Thu May 11 21:10:09 2017, Mostly Cloudy
Thu May 11 22:10:14 2017, Mostly Cloudy
Thu May 11 23:10:19 2017, Mostly Cloudy
Fri May 12 00:10:23 2017, Mostly Cloudy
Fri May 12 01:10:28 2017, Partly Cloudy
Fri May 12 02:10:33 2017, Partly Cloudy
Fri May 12 03:10:37 2017, Mostly Cloudy
Fri May 12 04:10:42 2017, Partly Cloudy
Fri May 12 05:10:47 2017, Partly Cloudy
Fri May 12 06:10:51 2017, Partly Cloudy
Fri May 12 07:10:56 2017, Partly Cloudy
Fri May 12 08:11:00 2017, Partly Cloudy
Fri May 12 09:11:05 2017, Partly Cloudy
Fri May 12 10:11:10 2017, Partly Cloudy
Fri May 12 11:11:15 2017, Partly Cloudy
Fri May 12 12:11:20 2017, Mostly Cloudy
Fri May 12 13:11:25 2017, Partly Cloudy
Fri May 12 14:11:29 2017, Partly Cloudy
Fri May 12 15:11:34 2017, Clear
Fri May 12 16:11:38 2017, Clear
Fri May 12 17:11:43 2017, Clear
Fri May 12 18:11:47 2017, Clear
Fri May 12 19:11:52 2017, Clear
Fri May 12 20:11:56 2017, Clear
Fri May 12 21:12:01 2017, Clear
Fri May 12 22:12:06 2017, Clear
Fri May 12 23:12:10 2017, Clear
Sat May 13 00:12:15 2017, Clear
Sat May 13 01:12:19 2017, Partly Cloudy
Sat May 13 02:12:24 2017, Partly Cloudy
Sat May 13 03:12:29 2017, Clear
Sat May 13 04:12:33 2017, Clear
Sat May 13 05:12:38 2017, Partly Cloudy
Sat May 13 06:12:42 2017, Clear
Sat May 13 07:12:47 2017, Partly Cloudy
Sat May 13 08:12:51 2017, Partly Cloudy
Sat May 13 09:12:56 2017, Partly Cloudy
Sat May 13 10:13:01 2017, Partly Cloudy
Sat May 13 11:13:05 2017, Partly Cloudy
Sat May 13 12:13:10 2017, Clear
Sat May 13 13:13:14 2017, Clear
Sat May 13 14:13:19 2017, Clear
